Species      ,Phylum,# Data,Eo (eV),Ao (atm-1),Φcrit
Acanthephyra acutifrons ,A,2,-0.03,26.8,
Acanthephyra curtirostris ,A,2,0.04,25.6,
Acanthephyra purpurea ,A,2,0.13,23.3,2.6
Acanthephyra smithi ,A,3,-0.03,29,
Acipenser brevirostrum ,Ch,6,0.42,23.9,
Anguilla japonica ,Ch,2,0.13,7.9,
Bellapiscis lesleyae ,Ch,3,0.42,18,
Bellapiscis medius ,Ch,3,0.61,43.6,
Bythograea thermydron ,A,3,0.23,52.8,
Callinectes sapidus ,A,3,0.54,35.5,3.8
Cancer irroratus ,A,50,0.92,32.1,6
Carcinus maenas ,A,3,0.48,22.3,
Chromis atripectoralis ,Ch,4,0.5,73.2,
Crassostrea gigas ,M,3,0.21,13.1,
Cyclopterus lumpus ,Ch,2,0.19,12.2,2.5
Dentex dentex ,Ch,8,0.17,15.8,
Dentex dentex ,Ch,8,-0.21,-34.8,
Diplodus Puntazzo ,Ch,9,0.23,53.9,4.2
Dosidicus gigas ,M,2,0.62,40.8,
Funchalia villosa ,A,2,0.17,25.9,3.2
Gadus morhua ,Ch,3,0.42,15.6,2.1
Gadus morhua ,Ch,6,-0.87,-21.2,4
Gadus ogac ,Ch,2,0.29,6.5,2.1
Gammarus pseudolimnaeus ,A,27,0.72,25.3,
Gaussia princeps ,A,3,-0.13,83.4,
Gennadas valens ,A,2,0.2,26.4,3.5
Gibberulus gibbosus ,M,2,0.41,85.6,
Gobiodon erythrospilus ,Ch,4,0.67,66,
Gobiodon histrio ,Ch,4,0.93,123,
Lophelia pertusa ,Cn,2,0.44,9.9,1.3
Melanostigma pammelas ,Ch,4,1.06,19.1,
Morone saxatilis ,Ch,2,0.33,24,4.8
Mytilus species ,M,3,0.16,16.7,
Nautilus pompillius ,M,3,0.59,25.7,
Notostomus gibbosus ,A,2,0.92,14.1,
Notostomus elegans ,A,2,0.44,24.4,
Oplophorus gracilirostris ,A,5,0.09,21.1,
Oplophorus spinosus ,A,3,0.29,20.8,2.2
Palaemonetes pugio ,A,2,1.35,144.8,
Palaemonetes vulgaris ,A,3,0.62,56.3,
Pandalus borealis ,A,4,0.88,11.3,4.7
Pandalus platyceros ,A,2,0.15,18.9,1.7
Panulirus Cygnus ,A,3,0.19,19.9,
Panulirus interruptus ,A,2,0.57,28.9,
Paralichthys dentatus ,Ch,2,0.35,25.1,3.5
Pecten maximus ,M,3,0.33,21.6,5.4
Penaeus aztecus ,A,2,0.22,9.6,1.5
Penaeus vannamei ,A,7,0.09,59.4,
Salmo salar ,Ch,4,0.34,10.4,
Sciaenops ocellatus ,Ch,2,0.24,32.3,5
Scyliorhinus canicula ,Ch,3,0.24,10.1,2.2
Sepia officinalis ,M,2,0.72,60,3.2
Sergestes bisulcatus ,A,3,0.49,14.1,
Sergestes fulgens ,A,3,0.56,12.8,
Sergestes tenuiremis ,A,3,0.36,18,
Sergia grandis ,A,2,0.43,21.7,
Stenobrachius leucopsarus ,Ch,2,0.69,23.4,2.2
Styela plicata ,Ch,4,-0.09,6.3,1.3
Systellaspis debilis ,A,6,0.22,22.2,2.4
Tarletonbeania crenularis ,Ch,2,0.21,20.6,2.6
Tautogolabrus adspersus ,Ch,2,0.22,17.9,3.8
Tigriopus brevicornis ,A,2,0.44,114.3,
Zoarces Viviparus ,Ch,6,0.85,18.2,3.6
